Feature_ID	VIP_comp_1	Loading	mz	RT	Corr_ID	Compound_Name
892	2.59348	0.030319	371.145	0.900031	NA	NA
151	2.591394	0.030295	246.1813	0.43005	NA	NA
3128	2.589324	-0.03027	371.1932	2.456245	NA	NA
5237	2.575789	0.030112	406.1499	3.787407	431	NA
4194	2.574667	0.030099	366.2028	3.095433	NA	NA
3967	2.570986	0.030056	305.1611	2.952042	42	NA
2675	2.567724	0.030018	211.1164	2.299419	214	NA
3989	2.56566	0.029994	874.4422	2.969561	NA	NA
296	2.561555	0.029946	101.0603	0.457045	290	Spectral Match to 5-Aminovaleric acid from NIST14
3356	2.552738	0.029843	486.2929	2.583382	NA	NA
4200	2.549306	0.029803	468.2502	3.127709	42	NA
3708	2.539304	0.029686	539.3235	2.773274	76	NA
643	2.538652	0.029678	357.2495	0.606109	388	Spectral Match to Ile-Pro-Lys from NIST14
6872	2.538574	-0.02968	435.1788	4.948208	169	NA
2892	2.531348	-0.02959	511.2913	2.408532	NA	NA
6980	2.530587	0.029584	511.3034	4.891473	426	NA
1411	2.521782	0.029481	247.129	1.242282	184	NA
6279	2.517357	0.029429	457.3349	4.603256	194	NA
1494	2.514935	-0.0294	387.1895	1.328705	184	NA
707	2.513497	0.029384	174.149	0.733289	205	NA
3752	2.507231	-0.02931	354.1448	2.812953	372	NA
6384	2.507212	0.029311	456.3323	4.622091	194	NA
7117	2.503909	0.029272	372.3109	5.130559	416	Massbank:RP025402 Tetradecanoyl-L-Carnitine|L-Myristoylcarnitine|(3R)-3-tetradecanoyloxy-4-(trimethylazaniumyl)butanoate
2851	2.503636	-0.02927	387.1753	2.279989	239	NA
584	2.502249	0.029253	276.1441	0.659819	205	Massbank:PR310825 N-Fructosyl isoleucine
3948	2.497803	0.029201	267.1211	2.889792	NA	NA
8075	2.49769	-0.0292	427.2825	5.975138	379	NA
7089	2.49731	-0.02919	391.2842	5.112361	2	"Candidate Trihydroxylated bile acid (delta mass -18.0106; sirius atomic difference: -2H, -1O; buddy atomic difference: -2H, -1O; spectral library match to CCMSLIB00003135123, Spectral Match to 12-Ketodeoxycholic acid from NIST14)"
786	2.493132	0.029146	306.1457	0.797523	205	NA
4156	2.491324	-0.02912	535.1452	3.058727	NA	NA
1194	2.490304	0.029113	142.0865	1.136307	175	NA
1295	2.487256	0.029077	247.129	1.197292	175	Spectral Match to Asp-Leu from NIST14
6718	2.48595	-0.02906	281.2476	4.858253	191	MoNA:790553 Linoleic acid
785	2.48242	0.029021	339.1544	0.7414	NA	NA
322	2.479449	0.028986	357.2496	0.437113	328	NA
8367	2.47694	-0.02896	645.5007	6.176298	40	NA
250	2.476396	0.02895	114.0666	0.440385	290	NA
3732	2.474795	0.028932	461.2288	2.853019	NA	NA
637	2.470385	0.02888	494.2105	0.687048	NA	NA
3983	2.470378	0.02888	271.1525	2.974516	NA	NA
7425	2.468802	-0.02886	807.5751	5.387258	422	"(4R)-4-((5S,7R,9S,10S,12S,13R,14S,17R)-7,12-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid"
2543	2.466269	-0.02883	767.3943	2.160815	NA	NA
2895	2.462105	0.028783	423.2608	2.312571	NA	NA
1241	2.460651	0.028766	488.3084	1.146887	NA	NA
3963	2.449174	0.028632	738.702	2.946842	124	NA
4531	2.447037	0.028607	197.1175	3.320708	NA	Loliolide
8128	2.43971	0.028521	501.3554	5.976123	NA	NA
3539	2.437916	0.0285	370.1126	2.679845	NA	NA
2591	2.436337	0.028482	425.1928	2.187561	36	NA
6396	2.432003	0.028431	411.2937	4.634655	355	NA
1998	2.42276	0.028323	251.0892	1.819351	NA	NA
7506	2.41868	-0.02828	408.3108	5.440001	47	"Candidate Trihydroxylated bile acid (delta mass -0.9841; sirius atomic difference: 1H, 1N, -1O; buddy atomic difference: 1H, 1N, -1O)"
6993	2.418557	0.028274	511.3034	4.985575	12	NA
3724	2.417727	0.028264	246.1701	2.817698	9	NA
4500	2.415993	0.028244	279.1706	3.298973	NA	Spectral Match to Phe-Leu from NIST14
5559	2.409736	0.028171	853.402	4.083193	43	NA
3707	2.405998	0.028127	441.224	2.725921	NA	NA
7426	2.400527	-0.02806	410.3263	5.363836	422	"Candidate Dihydroxylated bile acid (delta mass 17.0266; sirius atomic difference: 3H, 1N; buddy atomic difference: 3H, 1N)"
3995	2.400209	0.02806	564.3601	2.970933	NA	NA
8430	2.400054	-0.02806	297.2419	6.217714	141	Spectral Match to 12(13)-Epoxy-9Z-octadecenoic acid from NIST14
4994	2.396417	0.028015	534.3292	3.658933	256	NA
6852	2.396115	0.028012	414.3216	4.954441	313	NA
1365	2.395257	0.028002	122.0968	1.253986	180	"2,6-Xylidine"
1822	2.387643	0.027913	207.113	1.544329	NA	NA
1382	2.386721	0.027902	208.1334	1.261133	NA	NA
8263	2.382554	-0.02785	483.3445	6.133875	266	NA
6180	2.380916	0.027834	531.3299	4.534631	NA	NA
8354	2.379296	-0.02782	427.3208	6.230998	40	NA
2978	2.379251	0.027815	585.3144	2.346442	214	NA
7036	2.372992	0.027741	470.3479	5.067118	NA	NA
6589	2.372984	0.027741	378.231	4.756342	NA	NA
4272	2.366038	-0.02766	473.24	3.144199	140	NA
3979	2.365323	0.027652	333.1329	2.958113	NA	NA
562	2.365184	0.02765	220.1181	0.685678	NA	NA
606	2.362401	-0.02762	375.213	0.664841	NA	NA
4776	2.361495	0.027607	651.3606	3.352465	391	NA
1819	2.360493	0.027595	234.1239	1.60916	NA	NA
6682	2.358611	-0.02757	595.3485	4.828754	110	NA
5111	2.35734	-0.02756	591.318	3.679375	230	Spectral Match to Urobilin from NIST14
2938	2.356706	0.027551	389.6956	2.319969	NA	NA
7847	2.356293	0.027546	495.3081	5.751738	NA	NA
8423	2.356178	-0.02754	465.334	6.309166	NA	NA
664	2.354605	0.027527	194.0814	0.672554	205	NA
7427	2.35275	-0.0275	357.2786	5.358291	422	"Candidate Dihydroxylated bile acid (delta mass -36.0213; sirius atomic difference: -4H, -2O; buddy atomic difference: -4H, -2O; spectral library match to CCMSLIB00005463909, DEOXYCHOLATE)"
4628	2.349993	-0.02747	457.3392	3.365859	NA	NA
4250	2.349384	0.027465	625.3075	3.132289	42	NA
3834	2.347956	0.027449	385.22	2.8628	NA	NA
7428	2.346794	-0.02744	785.5926	5.359723	422	"Candidate Dihydroxylated bile acid (delta mass 392.2915; sirius atomic difference: 24C, 40H, 4O; buddy atomic difference: 24C, 40H, 4O; spectral library match to CCMSLIB00003134943, Spectral Match to Deoxycholic acid from NIST14)"
1366	2.346101	0.027427	105.0704	1.254857	180	NA
4301	2.344149	-0.0274	443.2295	3.169868	140	NA
1743	2.341002	0.027368	231.1705	1.539688	184	Spectral Match to Leu-Val from NIST14
4946	2.340661	0.027364	516.2996	3.676045	256	NA
7272	2.339858	-0.02735	406.2952	5.232968	2	"Candidate Trihydroxylated bile acid (delta mass -2.996; sirius atomic difference: -1H, 1N, -1O; buddy atomic difference: -1H, 1N, -1O)"
2606	2.339519	0.02735	225.1235	2.143716	127	NA
1093	2.339002	0.027344	247.129	1.157737	175	NA
3517	2.338932	-0.02734	555.3186	2.665597	NA	NA
1579	2.336539	0.027315	300.0985	1.44587	NA	NA
5334	2.336527	0.027315	651.292	3.886766	NA	NA
4099	2.335993	0.027309	208.043	3.034894	NA	NA
4605	2.333089	0.027275	387.1589	3.36374	307	NA
6708	2.321806	-0.02714	339.2507	4.867111	191	NA
7066	2.321313	-0.02714	515.3347	5.063297	484	NA
1246	2.320352	0.027126	366.2146	1.123878	NA	NA
1739	2.318405	0.027103	375.1888	1.566429	NA	NA
6948	2.316817	-0.02708	335.2193	5.014332	212	NA
6535	2.312924	-0.02704	400.3061	4.700567	NA	NA
2575	2.311601	0.027024	272.2335	2.171554	NA	NA
6775	2.311058	0.027017	513.3194	4.902991	426	NA
6008	2.309087	-0.02699	297.2426	4.221363	35	Spectral Match to 9(10)-EpOME from NIST14
3739	2.305366	0.026951	308.1842	2.744296	NA	NA
7227	2.30475	-0.02694	297.2425	5.167913	NA	Spectral Match to 12(13)-Epoxy-9Z-octadecenoic acid from NIST14
4841	2.302976	0.026923	1043.59	3.503931	NA	NA
5953	2.293145	0.026808	382.259	4.285228	256	NA
3900	2.292457	0.0268	671.41	2.907491	NA	NA
2741	2.292442	-0.0268	496.1549	2.248147	NA	NA
7538	2.291398	-0.02679	599.3693	5.486778	47	NA
327	2.287529	0.026742	137.0711	0.460249	290	1-METHYLNICOTINAMIDE - 30.00 eV
5264	2.286222	0.026727	888.4832	3.814571	NA	NA
611	2.285743	0.026721	233.1132	0.669156	205	NA
1086	2.284464	0.026707	199.1079	1.036172	175	NA
4287	2.280841	0.026664	498.2604	3.155328	42	NA
1844	2.276137	0.026609	209.128	1.616079	177	NA
871	2.274935	-0.0266	357.2139	0.88752	NA	NA
1311	2.268778	0.026523	266.1384	1.184377	NA	NA
5164	2.267324	0.026506	381.1811	3.719746	44	(Z)-3-(4-hydroxyphenyl)-N-[4-[[(E)-3-(4-hydroxyphenyl)prop-2-enoyl]amino]butyl]prop-2-enamide
3457	2.266483	0.026496	598.2878	2.636905	331	NA
5051	2.26467	0.026475	480.2783	3.682803	256	"Candidate Trihydroxylated bile acid (delta mass 70.9856; buddy atomic difference: 3C, -3H, 5N, -4O, 1S; spectral library match to CCMSLIB00005465562, ""2-((4R)-4-((3R,5S,9S,10S,13R,14S,17R)-3-hydroxy-10,13-dimethyl-7-oxohexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanamido)ethane-1-sulfonic acid"")"
1640	2.261397	0.026437	253.1295	1.425163	NA	NA
2468	2.259663	0.026417	298.0971	2.118015	82	5'-METHYLTHIOADENOSINE
379	2.258881	0.026407	234.0976	0.529677	205	NA
2980	2.2535	-0.02634	390.1867	2.30102	387	NA
7465	2.250363	0.026308	424.3419	5.396246	NA	NA
2695	2.248082	0.026281	356.7088	2.206613	NA	NA
1240	2.244401	-0.02624	458.2365	1.134463	175	NA
4374	2.239976	0.026186	431.2181	3.2118	374	NA
2849	2.238266	-0.02617	493.2818	2.2894	214	NA
1390	2.237523	0.026158	204.1022	1.266396	NA	NA
1812	2.23288	0.026104	295.165	1.578248	31	NA
7093	2.230186	0.026072	511.3033	5.030803	12	NA
5370	2.22941	0.026063	455.2182	3.916129	256	NA
6304	2.226408	0.026028	386.2902	4.558703	NA	NA
4741	2.225369	0.026016	330.264	3.509738	NA	NA
1578	2.221567	0.025971	211.1555	1.407133	NA	NA
3325	2.221378	-0.02597	256.1908	2.552524	509	NA
1694	2.219833	-0.02595	316.1509	1.5038	184	NA
5293	2.218659	0.025937	620.3337	3.839492	262	NA
3970	2.217734	0.025926	472.2813	2.957088	100	NA
6289	2.208897	0.025823	445.304	4.543626	495	NA
1552	2.207067	0.025802	237.1599	1.384744	306	NA
2898	2.204223	-0.02577	286.1402	2.310427	214	NA
7816	2.198638	-0.0257	483.3441	5.74717	NA	NA
5304	2.19813	0.025697	649.2766	3.94518	256	NA
1376	2.19783	0.025694	230.0484	1.243017	NA	NA
633	2.196081	0.025673	203.1392	0.651591	205	NA
314	2.195598	0.025668	266.1239	0.461458	205	NA
359	2.194323	0.025653	303.1548	0.522251	388	NA
618	2.193326	-0.02564	160.097	0.667206	353	NA
3723	2.19257	0.025632	448.1538	2.783225	76	NA
4660	2.191974	0.025625	385.2125	3.392734	NA	NA
386	2.191462	0.025619	231.1901	0.573265	456	NA
731	2.1881	0.02558	217.1548	0.757165	205	Spectral Match to Val-Val from NIST14
7094	2.187071	-0.02557	408.3107	5.113184	2	"Candidate Trihydroxylated bile acid (delta mass -0.9846; sirius atomic difference: 1H, 1N, -1O; buddy atomic difference: 1H, 1N, -1O)"
6344	2.186463	0.025561	378.2308	4.651385	504	NA
5496	2.185322	0.025548	649.2767	3.993967	256	NA
8530	2.184851	-0.02554	321.24	6.418496	10	NA
6679	2.184142	-0.02553	617.3307	4.826623	110	NA
1130	2.181811	0.025506	211.1071	0.992796	203	NA
1993	2.178548	0.025468	187.1807	1.780563	NA	NA
4620	2.178134	0.025463	305.1863	3.367943	307	NA
4315	2.176369	0.025443	401.2075	3.189491	396	NA
5352	2.173805	-0.02541	309.087	3.902053	256	NA
3756	2.17367	0.025411	309.1811	2.821419	NA	NA
6787	2.1725	-0.0254	515.3346	4.964493	NA	NA
6762	2.171857	0.02539	455.3157	4.913911	426	NA
1777	2.169804	0.025366	271.1963	1.591067	31	NA
3719	2.169022	0.025357	458.2656	2.781513	292	NA
2566	2.168426	-0.02535	144.081	2.174946	NA	Massbank:PR310882 Tryptophanol (not validated)
7520	2.167823	-0.02534	582.3425	5.45372	47	NA
3331	2.165763	0.025319	240.0326	2.575018	NA	NA
5597	2.165632	0.025317	857.949	4.053499	436	NA
4545	2.16528	-0.02531	395.2907	3.327034	256	NA
442	2.158564	0.025235	190.1076	0.565648	NA	NA
5940	2.157636	0.025224	428.3009	4.282476	256	NA
3627	2.156523	0.025211	287.1384	2.720502	370	NA
601	2.154818	0.025191	247.1287	0.634025	NA	NA
3245	2.147994	-0.02511	415.1139	2.48939	NA	NA
555	2.147764	0.025108	233.1495	0.617667	205	Spectral Match to Ile-Thr from NIST14
2837	2.147367	0.025104	745.448	2.274475	NA	NA
654	2.145293	0.02508	391.2378	0.708589	NA	NA
218	2.145285	-0.02508	148.0606	0.439483	345	Spectral Match to L-Glutamic acid from NIST14
4030	2.144834	0.025074	417.2023	2.984151	100	NA
1792	2.143315	0.025056	384.1151	1.583535	184	R-N6-succinyladenosine
7098	2.142636	-0.02505	413.2659	5.111538	2	NA
2621	2.14079	0.025027	348.1553	2.212912	36	NA
4440	2.133979	0.024947	709.3822	3.262317	NA	NA
202	2.133109	-0.02494	222.0198	0.438151	518	NA
2504	2.132094	0.024925	311.1604	2.146043	36	NA
3665	2.131338	-0.02492	224.1283	2.751348	509	NA
5552	2.130708	0.024909	884.4158	4.109184	43	NA
1415	2.129348	0.024893	231.1705	1.274116	175	Spectral Match to Leu-Val from NIST14
7617	2.127679	-0.02487	313.2735	5.567385	437	NA
6547	2.127262	0.024869	230.0635	4.740091	NA	NA
3051	2.12647	-0.02486	393.1747	2.392069	NA	NA
8618	2.126451	-0.02486	300.2896	6.502737	NA	Spectral Match to Palmitoyl ethanolamide from NIST14
7507	2.125879	-0.02485	409.3141	5.442282	47	NA
4564	2.123796	0.024828	255.1586	3.294048	256	NA
6625	2.122427	0.024812	519.365	4.74479	NA	NA
7440	2.122168	0.024809	503.3706	5.412331	NA	NA
4407	2.121287	0.024799	400.187	3.261369	NA	NA
5913	2.11963	-0.02478	328.2483	4.257995	NA	NA
808	2.119262	-0.02478	160.0758	0.829233	276	5_hydroxy_tryptophol
7283	2.118246	0.024763	419.1839	5.232254	NA	NA
4310	2.117762	0.024758	371.1277	3.210325	NA	NA
2811	2.115915	-0.02474	210.1127	2.257212	214	NA
2424	2.115096	-0.02473	324.1449	2.096854	NA	histidyltryptophyldiketopiperazine
6005	2.11447	-0.02472	355.2454	4.221711	35	NA
4218	2.108632	-0.02465	457.1973	3.057738	NA	NA
1644	2.108363	0.024648	278.1793	1.439005	30	NA
1768	2.106752	0.024629	267.1819	1.578571	NA	NA
3509	2.106531	0.024626	252.1231	2.69132	232	NA
2931	2.10455	0.024603	586.3194	2.337183	214	NA
1890	2.100514	-0.02456	366.178	1.687052	229	NA
5457	2.097149	0.024517	879.3819	3.97105	256	NA
4124	2.095326	0.024495	600.2922	3.041399	42	NA
3560	2.090227	0.024436	278.174	2.69164	174	NA
766	2.083853	0.024361	494.1985	0.790437	NA	NA
3576	2.082397	-0.02434	229.097	2.699609	509	NA
3236	2.081325	0.024332	497.3132	2.48352	NA	NA
1283	2.079187	0.024307	251.0776	1.187612	NA	NA
5081	2.079119	0.024306	498.2877	3.641396	256	"2-((4R)-4-((3R,5R,6S,7R,9S,10R,13R,14S,17R)-3,6,7-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanamido)ethane-1-sulfonic acid"
4574	2.077832	0.024291	673.3423	3.356042	NA	NA
3849	2.074244	-0.02425	338.2066	2.946873	193	NA
2426	2.074133	0.024248	729.3898	2.083262	NA	NA
2918	2.07148	-0.02422	378.1665	2.324242	214	NA
571	2.070999	-0.02421	165.0547	0.632632	205	Spectral Match to L-Tyrosine from NIST14
3744	2.066808	0.024162	560.2044	2.814402	NA	NA
4597	2.06669	0.024161	1038.01	3.337166	NA	NA
6258	2.064173	-0.02413	366.2638	4.49111	409	NA
2724	2.059588	0.024078	509.2767	2.24064	NA	NA
5333	2.059174	0.024073	460.2909	3.882714	256	Glu-C22:5
5657	2.058277	0.024062	193.1225	4.088567	445	NA
1264	2.055499	-0.02403	546.289	1.153607	459	NA
5228	2.055191	0.024026	255.0652	3.783936	NA	NA
2340	2.055049	-0.02402	338.1349	2.056285	82	NA
2655	2.054735	0.024021	361.6953	2.215586	NA	NA
2469	2.054642	-0.02402	447.2172	2.135348	NA	NA
2354	2.053321	-0.024	376.1715	1.995426	NA	NA
5658	2.047029	0.023931	246.17	4.088689	445	NA
3306	2.046991	-0.02393	319.1513	2.535657	509	NA
5483	2.04504	0.023908	516.2994	3.989804	256	"2-((4R)-4-((3R,5S,7R,9S,10S,12S,13R,14S,17R)-3,7,12-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanamido)ethane-1-sulfonic acid"
7222	2.044326	0.023899	407.2408	5.19938	69	NA
1907	2.040367	0.023853	510.2932	1.711117	NA	NA
1615	2.038844	0.023835	224.0918	1.436016	30	NA
3460	2.03865	-0.02383	358.1971	2.755024	76	NA
4888	2.038343	0.023829	470.2654	3.425278	322	NA
1163	2.037865	-0.02382	432.2459	1.087247	175	NA
5213	2.034571	0.023785	177.0544	3.776424	44	Spectral Match to 3-Hydroxy-4-methoxycinnamic acid from NIST14
964	2.033748	0.023776	224.0554	0.93014	175	NA
4089	2.033003	0.023767	325.1761	3.042484	483	NA
4288	2.031532	-0.02375	350.2075	3.222315	NA	NA
3787	2.030506	0.023738	328.1547	2.832363	288	NA
573	2.029104	-0.02372	136.0758	0.633583	205	NA
3872	2.028958	0.02372	345.1429	2.957877	NA	NA
8301	2.026292	-0.02369	279.2319	6.174554	141	Spectral Match to 9(10)-EpOME from NIST14
4003	2.024943	-0.02367	401.1595	3.073908	NA	NA
5477	2.024771	0.023671	498.2894	3.99019	256	"Candidate Trihydroxylated bile acid (delta mass 88.9927; sirius atomic difference: 2C, 3H, 1N, 1O, 1S; spectral library match to CCMSLIB00005435562, taurocholic acid)"
3456	2.024353	0.023666	474.2603	2.634032	NA	NA
2234	2.020464	-0.02362	456.2093	1.987024	358	NA
663	2.017001	0.02358	190.1076	0.663911	NA	NA
3390	2.013792	-0.02354	289.1397	2.594667	8	NA
8021	2.013108	-0.02353	277.2162	5.936986	469	Spectral Match to 13-Keto-9Z,11E-octadecadienoic acid from NIST14
5382	2.011858	0.02352	600.2086	3.896427	NA	NA
5598	2.011636	0.023517	857.4472	4.054557	436	NA
1483	2.008512	0.023481	218.0926	1.308917	492	NA
3699	2.00733	-0.02347	336.1919	2.752247	509	NA
7266	2.006011	-0.02345	392.2479	5.188653	2	NA
166	2.003269	-0.02342	296.0661	0.41914	NA	NA
460	2.001571	0.023399	274.092	0.570094	NA	NA
1092	1.999576	0.023376	374.1823	1.05867	NA	NA
413	1.998836	0.023367	250.1286	0.543987	520	NA
3037	1.998817	-0.02337	525.7653	2.382603	NA	NA
7421	1.997632	-0.02335	415.2813	5.362692	422	NA
1666	1.997553	0.023352	273.1083	1.478819	249	NA
6025	1.993162	0.023301	385.3424	4.333777	256	NA
794	1.99197	-0.02329	341.1466	0.873726	175	NA
323	1.990358	0.023268	250.1285	0.50582	520	NA
6495	1.986434	0.023222	443.3562	4.691505	1	NA
769	1.986362	0.023222	173.165	0.784794	NA	Candidate Cadaverine-C4:0 (delta mass:70.0418)
4118	1.984178	0.023196	438.2392	3.101488	42	Massbank:PR311082 Dicoumaroyl Spermidine
814	1.982426	-0.02318	334.1607	0.78524	205	NA
4002	1.982404	0.023175	366.2368	2.985287	NA	NA
7096	1.981757	-0.02317	373.2737	5.102608	2	"Candidate Trihydroxylated bile acid (delta mass -36.0215; sirius atomic difference: -4H, -2O; buddy atomic difference: -4H, -2O; spectral library match to CCMSLIB00005464896, ""(R)-4-((3R,5R,8R,9S,10S,12S,13R,14S,17R)-3,12-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pent-2-enoic acid"")"
7722	1.980997	-0.02316	415.3029	5.668168	NA	NA
4881	1.976562	-0.02311	348.1441	3.527558	NA	NA
6483	1.976411	0.023105	459.2835	4.676394	NA	NA
6061	1.97202	0.023054	377.1992	4.348172	256	NA
