ALDEx2 Differential Abundance of Dams Wk2-Wk4 AMP vs Mock											
taxa n=19	we.ep	we.eBH	wi.ep	wi.eBH	rab.all	rab.win.mom.Amp	rab.win.mom.Mock	diff.btw	diff.win	effect	overlap
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales	4.58E-07	3.94E-06	1.34E-06	6.47E-06	0.51008025	1.72754154	-1.0294728	-2.6849293	1.7335258	-1.4642151	0.06163206
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales	0.00077826	0.00249691	2.50E-06	9.19E-06	0.06523021	1.17531839	-1.0129815	-2.2720025	1.61477184	-1.2945964	0.05381958
k__Bacteria;p__Firmicutes;c__Clostridia;__	0.0003812	0.00148645	7.46E-06	3.26E-05	-1.636367	-3.8555444	0.40938202	4.10008644	3.31070879	1.1472522	0.07979194
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	1.80E-05	7.87E-05	4.64E-05	0.00019345	6.75906153	4.2546414	8.57336839	3.90828012	3.25174862	1.09206736	0.13096276
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	8.59E-06	4.92E-05	9.24E-07	4.86E-06	0.77127842	3.07417337	-1.2626894	-5.1757782	5.16078085	-1.0359616	0.07204871
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales	0.01866165	0.0406343	0.00047684	0.00138287	-0.5378974	0.77329227	-1.4451497	-2.3013304	2.67355172	-0.7353782	0.16045104
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	0.01737232	0.03602212	0.00473409	0.01033219	-3.1783616	-1.5603764	-4.8092985	-3.1641879	4.10592251	-0.6980356	0.18750003
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales	0.01595676	0.0561597	0.00086426	0.00313294	1.7853938	1.12450567	3.72600573	2.89898704	4.0942506	0.645626	0.19531253
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	0.05856162	0.10568484	0.02855583	0.04928884	-4.5661164	-3.1070454	-5.912795	-2.8891172	4.17867691	-0.6071411	0.23590635
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	0.04939546	0.086845	0.02546237	0.04649545	-4.7270434	-3.2847019	-6.1859993	-2.7809075	4.18029038	-0.6018884	0.24131947
